Protein_Accession,Gene_Name,Protein_Descriptions,Protein_Name,Number_Unique_Peptides,NR_1.Post_1,NR_1.Pre_2,NR_2.Post_3,NR_2.Pre_4,R_16.Post_5,R_16.Pre_6,R_17.Post_7.,R_17.Pre_8,NR_3.Post_9,NR_3.Pre_10,R_18.Post_11,R_18.Pre_12,R_19.Post_13,R_19.Pre_14,R_20.Post_15,R_20.Pre_16,R_21.Post_17,R_21.Pre_18,R_22.Post_19,R_22.Pre_20,NR_5.Post_21,NR_5.Pre_22,R_23.Post_23,R_23.Pre_24,R_24.Post_25,R_24.Pre_26,NR_6.Post_27,NR_6.Pre_28,R_25.Post_29,R_25.Pre_30,NR_7.Post_31,NR_7.Pre_32,NR_8.Post_33,NR_8.Pre_34,R_29.Post_35,R_29.Pre_36,NR_12.Post_37,NR_12.Pre_38,R_30.Post_39,R_30.Pre_40,NR_13.Post_41,NR_13.Pre_42,NR_14.Post_43,NR_14.Pre_44,NR_15.Post_45,NR_15.Pre_46,R_26.Post_47,R_26.Pre_48,R_28.Post_49,R_28.Pre_50,NR_10.Post_51,NR_10.Pre_52,NR_11.Post_53,NR_11.Pre_54
Q8NEZ3,WDR19,WD repeat-containing protein 19,WDR19_HUMAN,9,1077.203735,4256.71582,574.8363037,748.8734131,803.8838501,4879.566895,12945.32129,6199.295898,1678.0979,3083.564697,441.1238708,750.5817871,1425.697998,541.3374023,775.9442749,1880.552612,2425.182861,5864.222168,3203.355469,4944.662598,550.0636597,978.2833252,3741.612305,5141.558594,951.6993408,481.374054,5899.828613,5085.73877,1106.437622,2562.736328,948.4136353,1024.411377,958.6395874,599.3516235,2739.93335,834.7415161,752.9800415,1437.279541,3473.605469,3907.582275,2379.933105,1007.811462,660.0835571,3277.135498,3258.406494,5318.622559,3955.793945,5164.743164,2723.62207,741.550293,6524.542969,9894.814453,1931.838257,1241.431152
O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,IFIT3_HUMAN,5,685.9748535,727.0150757,492.2876587,590.2651978,596.8964844,2075.577393,1147.170044,1914.338867,1233.268066,5127.222168,20950.49609,550.7105103,1094.411499,787.2379761,1295.359619,1713.641357,5079.492676,1750.285767,1008.140564,6272.667969,607.4847412,1847.753418,1368.899414,6018.165527,544.5115967,504.0103149,8156.591797,9210.889648,681.8190308,6753.948242,490.4430847,760.6034546,4998.56543,754.5559082,1048.958008,6470.105469,588.960144,1479.199463,897.6687012,1347.852661,949.7796631,899.9425049,2861.438721,4654.156738,2744.471436,4120.300293,897.5571289,3165.993408,2730.528809,673.7283325,1997.065186,6742.296387,459.4035339,2327.228271
Q13418,ILK,Integrin-linked protein kinase,ILK_HUMAN,8,1628.408569,2610.340088,319.4894714,1356.634155,1159.474854,3675.312744,5332.575195,5043.407227,3426.375,5798.964844,1329.204712,882.8582764,4313.984375,1267.295776,1826.747925,2600.047607,3657.13501,3252.824219,1825.744751,6410.235352,1702.419678,3237.44165,1638.73584,4404.130371,777.4494629,656.8543701,4133.352051,4963.558105,1578.452148,7029.213867,486.9814758,894.6554565,4131.354492,651.3619995,2065.382324,2560.241211,1026.766113,1635.942505,2146.522461,2799.079346,1756.890625,1087.185669,1274.866333,2611.468262,3021.585449,3761.255859,2328.460205,2667.336426,4001.455811,1140.630737,2428.715576,7378.584961,922.8787231,2631.356934
P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,PI42A_HUMAN,2,2123.859619,3468.159424,504.511322,2407.581055,2703.918701,3996.646729,4397.341797,3543.300293,3604.053223,5175.159668,6682.636719,961.545105,4389.515137,1401.029053,2189.839111,2316.945313,4212.912109,3097.58252,3260.972412,7901.026367,2892.554443,4841.563477,2019.95105,5907.641113,1007.197876,510.4909363,3603.916504,3987.780273,2092.094482,2100.757568,817.8099976,595.1207275,3629.985352,561.5367432,1968.156494,4458.29248,843.2611694,2632.544189,2122.257324,1957.267456,1400.532471,1448.676514,1228.747681,4008.951904,2458.948242,2591.653076,633.1650391,2996.189453,3002.972168,963.1325073,1599.796509,5264.791504,964.4691162,1605.341553
P20701,ITGAL,Integrin alpha-L,ITAL_HUMAN,5,732.1889648,1160.84375,505.4767151,1188.487915,1483.749512,3470.634766,4214.794434,3886.201172,2524.445557,4610.80127,2742.267822,517.4781494,3127.006836,717.4181519,1925.354614,2089.605957,1646.802246,2748.901611,1546.692139,4970.170898,865.0234985,2197.549561,2549.833008,12309.99121,622.9978638,787.3266602,6264.858398,6654.084961,1271.755493,5774.164551,647.9299927,703.541626,4559.095703,547.3843384,687.7901001,583.1084595,514.2034912,1258.517334,3039.741211,3425.157227,1617.102661,2241.763184,1956.241943,5054.084961,2563.915283,2707.776123,1203.966309,8240.981445,4151.260742,781.1524048,2335.715576,6187.772949,670.9728394,1499.243774
Q06124,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,PTN11_HUMAN,3,1727.453735,2382.187012,419.9872131,1907.807373,3304.520264,3666.291504,5275.264648,4302.228027,4334.771973,4762.543945,1631.21582,1897.645386,3881.912598,1538.093872,2424.636719,1938.974854,1657.278198,4645.250488,1568.776611,4843.035645,1018.440796,2102.33374,1931.462158,3989.687012,1582.620361,784.2879028,4534.567871,3720.6875,1821.545166,3927.150635,443.7671814,1464.931885,2401.66748,1095.907104,2476.288574,2503.452881,1337.752808,1281.805908,1592.733154,3080.362793,2813.121094,1318.550781,1789.180908,2542.38208,2921.297607,3939.515381,2785.946533,4343.648438,2244.905518,1129.435791,4184.743652,5506.537109,1493.634888,2251.895264
A5D8V7,ODAD3,Outer dynein arm-docking complex subunit 3,ODAD3_HUMAN,11,1647.08313,5273.748535,425.3902893,371.3564148,6152.062988,7822.562012,6279.420898,8296.511719,7590.403809,6624.320313,344.0597229,591.5682373,5745.421875,832.4022217,2885.814941,4158.897461,2598.565674,5329.000488,1849.598022,2808.253662,515.2648926,731.1403809,2101.874512,2759.827881,559.612915,425.569397,3506.240967,2615.120361,892.9505005,2043.423706,485.9450073,946.7897949,551.1906738,330.7233276,1447.044189,1121.487793,760.722229,1810.316895,2902.317871,3566.796387,935.3114624,1190.296753,520.1942139,2042.672119,5815.841309,5080.699707,1875.87561,3125.719482,1144.852051,605.5708008,4481.620117,6720.192383,565.6710205,1145.868774
Q8WVF1,OSCP1,Protein OSCP1,OSCP1_HUMAN,3,2467.08252,3364.724365,344.2134399,397.7754211,3014.747559,4700.209473,6161.826172,4978.241699,4221.443848,5366.169434,575.2337646,2199.615479,5989.741211,663.6677856,4429.580078,5085.800781,3898.045898,5271.178711,2020.018799,3593.394775,618.0974121,382.3638611,3755.571533,2262.466309,465.4194641,452.6510315,4644.983398,3487.791748,1677.238892,4389.730957,308.9723511,689.2089233,716.9177856,622.0273438,1570.991821,715.1427612,2090.243896,2506.570557,3079.700439,3472.09082,2563.82373,909.1467285,326.4682007,2588.870605,5385.424316,6260.625488,2528.700195,3816.796387,522.0690918,1051.150024,3655.793457,5494.393555,1158.09082,2128.074219
P43304,GPD2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",GPDM_HUMAN,2,1253.79248,3922.781982,1561.349976,1039.187744,734.4880981,9071.991211,6205.137207,3532.026855,1868.561523,5657.291504,1688.428345,2029.776978,4916.055664,1639.501099,618.9108276,807.4143677,972.2587891,4319.402832,1407.670898,5401.961426,642.4077759,13205.92773,1293.567261,3611.438477,4081.958008,2515.03418,7528.359375,2288.645996,284.2190857,1085.413574,817.9451904,414.0969238,2235.597168,569.4796753,503.4971008,1196.871094,631.3926392,971.5717163,637.7408447,2716.778564,610.7173462,2638.2854,5828.690918,1692.969116,289.1348267,1293.156372,687.0823364,1974.799561,12881.4502,668.7097168,802.6243286,10387.27637,188.5808563,1752.784424
Q5TDH0,DDI2,Protein DDI1 homolog 2,DDI2_HUMAN,2,1150.723145,1801.485229,501.5114746,1504.052368,2094.52124,6834.067383,3217.521729,4959.571777,5043.143555,9493.513672,1682.900879,1551.873291,3159.037842,1368.405518,4989.200684,4730.55957,2539.62793,4352.484375,3303.403564,6589.28125,1146.440186,1805.683716,1407.465698,2853.388672,755.0022583,1130.261353,3315.906006,3987.883057,1768.00708,6236.884766,303.5126953,797.0233765,2156.337402,989.2057495,1187.749878,1071.866333,1953.522095,4147.807129,808.7633667,1265.108276,1572.286865,1624.365967,1010.462219,1422.108643,3028.679199,4389.133789,929.9771118,3546.874023,4631.032715,1209.346191,2329.677979,7342.536621,537.4815674,1335.452515
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,IF2B_HUMAN,3,1838.668091,1944.459839,408.5595093,1375.991943,1750.386597,6021.98584,2555.494385,2576.263672,4046.915039,7342.499512,4606.074707,954.0285034,3834.215332,1386.564941,3450.42627,4461.74707,2763.667236,1999.786743,951.7879639,5517.883789,623.6431274,5735.144043,1162.055664,5309.543945,1502.537842,940.1397705,2554.074707,3816.139404,2091.437988,4025.619873,659.1540527,908.7645874,3252.857666,1057.107788,1651.32312,4181.020996,714.8342896,2466.675781,2043.825073,2264.623047,2782.700684,2590.667236,1361.634277,3653.513428,2329.525635,3732.293213,1576.900757,3737.419678,4292.303223,792.833252,1862.059204,4944.739258,601.1422119,827.0897217
Q13283,G3BP1,Ras GTPase-activating protein-binding protein 1,G3BP1_HUMAN,3,835.6315308,852.2478027,433.0870972,1512.97229,1130.495239,6866.515625,3345.059082,4604.0625,3373.223633,6038.939941,5140.955078,714.9121704,2949.839355,1184.843018,5194.67334,4079.471924,3896.553467,1857.823975,2333.95459,7094.714844,400.8914185,2294.469727,2616.852295,3446.345459,2149.221436,380.5535889,2563.982422,3473.473145,1975.837891,7480.360352,478.4831238,355.3648987,6227.624512,587.6976318,564.8272705,1203.884644,656.2949219,1855.389771,1567.963623,2281.669189,912.838501,2351.793945,1158.865845,3711.729248,2893.324707,2027.947266,1448.704468,4617.582031,4808.838867,1193.558228,830.2706299,3579.540039,1001.136292,792.7614746
Q9UM54,MYO6,Unconventional myosin-VI,MYO6_HUMAN,16,2413.592773,3760.607422,381.8425598,425.4279785,1603.900513,4904.67334,5152.595703,4325.182617,3061.769287,4719.456055,490.6236572,1901.214478,4039.594238,686.3616943,3218.266602,4147.309082,2613.94873,4974.740234,2048.98291,2743.079834,419.8395081,3166.430908,3302.69458,3745.558838,1365.565796,577.9497681,3567.147461,2474.576172,1391.696289,3681.434082,1024.50708,1406.474731,1336.261475,632.7244263,1875.618896,1379.269409,1300.409424,2564.25,2289.8125,2535.034424,2336.583008,2086.41626,1342.27417,1913.980957,3484.368408,4489.902832,2486.007813,4078.821533,4857.01416,935.5203857,3782.088379,6555.453613,1301.484863,2305.083252
Q92542,NCSTN,Nicastrin,NICA_HUMAN,3,2461.788818,2223.717529,920.5463867,1624.915161,1310.769043,3432.077881,2311.518799,2772.688965,2254.869873,4923.619141,2855.552734,1163.255981,3385.415771,1265.078369,1469.660889,2062.761963,2159.825439,2510.113281,2555.097656,4354.098633,1880.075073,2899.330078,2599.945313,4156.477051,2141.942383,1241.173584,3646.820313,4137.375488,1586.342651,4710.018555,1255.379639,625.7896118,3354.230469,1695.103027,2436.645508,2180.267334,1178.571289,2819.056396,2265.792725,2851.225586,1398.940918,2867.153076,1728.159546,2557.270508,1496.466187,4257.397461,695.746582,3874.825684,6046.251953,1180.929199,2363.119873,7339.569336,896.6915283,1962.893433
Q13547;Q92769,HDAC1;HDAC2,Histone deacetylase 1;Histone deacetylase 2,HDAC1_HUMAN;HDAC2_HUMAN,2,4259.89209,2191.970215,675.0869141,1735.986938,1187.064697,7549.873047,4375.188477,5304.391602,3360.109619,4476.684082,4103.209961,1123.848267,2574.762207,2172.865234,1181.859131,2907.343262,4010.754395,2683.579834,2317.891846,6375.512207,2077.010254,3737.366943,1629.307373,3046.763184,2184.19043,2234.393799,2748.931396,2131.16626,2484.98584,10912.89453,559.3482666,4539.53125,5436.915039,333.3258362,2169.466309,727.2483521,403.5013123,1240.701294,1307.244751,1843.348999,1436.712646,1612.041992,1174.615234,1830.831421,803.921814,2317.5896,1667.912964,1267.437866,1916.964844,1263.490479,1806.125732,9661.897461,675.0568237,1729.167969
Q5T700,LDLRAD1,Low-density lipoprotein receptor class A domain-containing protein 1,LRAD1_HUMAN,2,1892.587524,5657.481934,1221.240479,1209.397583,8021.276855,2702.839111,9357.135742,5169.992188,6551.062988,8259.948242,848.5338135,627.8088379,2136.657715,765.5155029,3451.494629,4116.530273,5652.242676,7462.119141,3719.432373,4499.338867,557.3129272,511.1726074,1232.723633,3407.239502,529.5778809,347.6773987,2201.741211,2044.982056,2058.039063,2549.458496,613.1192627,943.1913452,1740.059204,4496.881348,2063.409912,1128.612305,680.8753662,1085.565674,5939.750977,4331.364746,2530.866699,528.045105,467.053894,1390.398926,2113.529053,1967.6073,500.5337524,853.0688477,1417.824219,377.0365295,3988.496582,1804.380737,2589.837158,820.2022095
Q96RU3,FNBP1,Formin-binding protein 1,FNBP1_HUMAN,3,1497.97229,2652.415527,245.5515442,698.366272,1615.809082,1642.603516,4977.97998,3295.72876,1433.302368,2770.580078,5222.311035,1294.398071,1619.607178,1593.242798,1101.400391,2355.049805,5697.018555,2206.232178,1411.875854,3556.479004,1470.874634,2733.52417,1564.402466,3587.277832,1114.655029,1558.628174,2899.593262,3461.522949,1581.125,6870.893066,2249.432129,2376.674072,7690.030762,616.0078125,1293.707031,10180.06445,412.2089539,810.1304321,1488.768799,1933.649658,1077.578857,1630.409424,984.8131104,3202.634766,2452.083984,3072.473877,1746.291016,2713.966064,3195.246094,1117.719604,1558.348145,7388.22168,1102.662231,644.7562866
P42229;P51692,STAT5A;STAT5B,Signal transducer and activator of transcription 5A;Signal transducer and activator of transcription 5B,STA5A_HUMAN;STA5B_HUMAN,3,1934.266724,2300.024658,370.5122681,1190.133179,1766.944214,2651.206055,4085.64624,4845.73291,2112.05542,4049.723389,2476.329346,449.9468689,2809.685303,2000.926514,1270.490845,1600.813965,3843.423096,1408.557861,1385.768311,5198.552734,1731.407227,3616.665039,1057.712402,3833.503662,1466.055542,1967.513062,3186.481689,3328.671631,957.4065552,3677.085693,2465.950195,1881.877441,6574.166504,568.5657349,2027.743652,4178.592285,554.828125,799.9171753,2163.272705,1797.453613,1977.053467,1526.722534,1554.893066,2838.484863,2028.63623,2681.480469,2328.564453,4039.26123,4737.757813,1551.612793,2561.039795,9087.083008,1399.347046,1933.515747
P43686,PSMC4,26S proteasome regulatory subunit 6B,PRS6B_HUMAN,8,2430.519775,2270.518311,1077.921143,1117.368896,2289.789795,4954.586914,2962.109619,3670.826904,3681.711426,6461.811523,1952.907959,1770.095703,3832.092773,1791.337769,2958.296387,2958.364502,2182.679688,1716.165527,1886.508789,4398.187988,1581.333862,4621.975098,1854.585083,3499.175781,1628.913452,1298.464355,3365.2854,3525.39209,2419.996582,3576.026123,1183.200073,1166.217529,2205.438965,888.7796021,1624.126343,1662.721924,1336.839233,2656.147217,1584.145142,2751.796387,1556.171143,2725.717285,1851.296997,2808.541016,3096.679688,3122.244385,1543.785767,2881.414795,4932.634766,1521.359741,2154.253662,5514.021484,695.7583008,1961.697754
Q6P9B6,MEAK7,MTOR-associated protein MEAK7,MEAK7_HUMAN,3,1107.291016,2375.137451,686.1385498,856.793396,1897.956665,1862.10791,4798.322266,3491.253418,3511.497803,3882.91626,488.3493958,1141.772827,4043.059814,1419.973145,2617.762695,2920.241211,3504.501221,4954.722168,610.7042847,2038.252197,327.2583618,1040.911865,3001.822021,5046.611816,753.8821411,957.7402954,4698.343262,3961.65332,1954.851807,5499.741699,1581.929932,1095.001831,1372.15979,934.0262451,1391.550537,742.8064575,1842.255005,1418.400146,2390.619141,2197.42041,1093.992676,2264.289307,2320.374512,3598.09082,4819.01416,5758.349121,3046.648193,5782.441406,4247.518066,1002.867737,2877.955566,7995.024414,1015.331909,2054.266602
P10586,PTPRF,Receptor-type tyrosine-protein phosphatase F,PTPRF_HUMAN,2,2112.631836,1273.649658,3239.426758,2696.855713,4429.045898,2813.929688,8875.500977,4820.650391,3552.616211,2389.811035,228.1670685,5501.661621,8692.435547,2496.724609,1796.589966,1525.897339,2161.542725,2499.70166,1562.138672,1615.344604,2805.449707,1048.30896,3224.906982,3817.302246,356.2171021,1553.757446,1833.427368,3368.154297,7120.637207,12889.49316,524.5613403,2093.840332,961.2166748,749.6549072,1912.133545,424.6184082,2763.151123,783.3696289,2481.05957,1419.212402,2943.378662,1008.636292,1731.346069,3692.121094,2783.098145,2722.827148,687.2965088,772.6341553,908.4476318,1532.307373,647.6593628,1248.444336,2016.414551,437.2415771
Q9BY43,CHMP4A,Charged multivesicular body protein 4a,CHM4A_HUMAN,2,987.9030762,1072.016602,358.0631409,513.5217285,3503.543457,6870.580566,3944.561035,4793.40918,5573.137207,7736.815918,1613.987793,971.5065918,7875.910645,1233.084961,5592.068359,5435.807129,1704.948486,4426.000488,528.5158691,3156.792236,633.7332764,1594.774536,2122.39624,7344.669922,1168.156006,1083.382324,4402.713867,4047.823242,770.8598633,1101.640381,450.9242859,756.2890625,2719.918213,394.7712402,3308.630859,2247.155518,648.081665,1922.051025,2192.368896,3045.17749,567.3870239,1596.570557,1070.47229,919.3189087,4964.394531,5049.850586,492.2877197,1007.096191,698.2631836,252.5900879,2318.209717,3083.068359,301.2041626,4177.405762
Q9Y2S2,CRYL1,Lambda-crystallin homolog,CRYL1_HUMAN,3,675.4564209,746.2339478,633.2921143,1002.169067,345.5333862,6228.506348,3565.222168,4460.736328,1914.485474,5947.722656,213.5072784,1065.844849,3215.72998,569.1940308,1516.755737,2495.663086,2174.332764,2296.963867,3628.844727,9667.504883,724.5284424,2014.003784,2845.805664,5128.128906,431.5007935,262.6263733,5536.513672,4640.78418,911.3442383,7193.73584,223.9355011,546.2522583,1380.936157,611.8779297,1554.254028,544.4221191,541.3045654,3861.255859,1378.2229,2524.463867,1038.71167,1358.616699,1271.889771,5279.578613,4203.040039,6234.833984,1155.687744,4153.34668,1875.650513,706.3939819,3080.755127,10172.94824,248.7619629,917.6548462
Q9H3Q3,GAL3ST2,Galactose-3-O-sulfotransferase 2,G3ST2_HUMAN,2,2641.657715,1458.433228,2543.979004,3095.469482,3902.39502,5619.625488,4170.151855,7403.916016,3402.810059,5312.615723,928.4591064,2212.082275,6070.960938,5990.555664,3582.181152,2626.778809,1022.062378,2783.734863,5678.830566,3064.630127,1766.906494,950.5253906,7362.663086,2317.400635,984.1939087,1541.413818,3195.971436,1897.269165,1173.65979,3548.101563,600.4831543,646.0488892,797.9946899,1006.565674,1837.061157,752.8178711,1311.760376,3714.898438,590.0350952,720.2019653,3326.566162,2789.265381,2297.686279,1824.476318,1548.372437,2991.840332,3068.834473,3224.72583,618.1013184,2013.921265,1833.940063,4880.049316,594.6587524,625.9885864
Q96LJ8,UBXN10,UBX domain-containing protein 10,UBX10_HUMAN,2,2224.143066,5312.357422,587.2036743,990.2216187,5267.70752,7324.213867,6280.32373,7207.135254,5780.09668,8776.724609,465.8568726,1660.971924,5842.745117,512.7618408,4680.34082,5768.698242,2411.656006,6046.834961,1462.03064,3318.991455,498.1895142,707.2169189,3312.690918,3247.690918,645.4801636,487.6725464,3861.898926,3425.482422,560.854187,3302.176758,465.2950745,937.9505615,681.9434204,366.6148376,1143.193359,814.5827637,593.2974854,1514.807495,2731.0625,2947.583984,1366.238525,826.8494263,834.6454468,413.2060547,5317.061035,5388.412598,2323.197754,3529.801758,524.7883301,409.40625,2610.138184,5176.544922,311.0454712,554.8833008
P21283,ATP6V1C1,V-type proton ATPase subunit C 1,VATC1_HUMAN,5,664.4506226,1634.764038,638.1928101,1263.154663,1463.689331,3177.432373,3693.264404,3866.98877,1256.961914,4537.979004,5026.968262,930.4206543,3111.120117,1744.699585,2254.000977,2281.89624,2306.187012,3180.755371,1561.773438,4995.089844,1681.982666,4264.704102,1495.94873,3881.69043,1330.147827,784.9388428,2680.734131,3391.172119,1161.298462,4311.00293,964.4694824,1362.355713,5011.299316,780.7687378,1864.399902,1942.319214,719.6216431,2126.987793,1355.006958,2101.039551,1397.874878,2137.821777,3177.760742,2713.354736,2363.518799,2582.978516,2015.64563,3834.511719,5035.213379,1433.731812,1844.12854,9152.539063,874.274292,1966.105469
Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2,NECP2_HUMAN,2,2640.017578,6490.775391,543.2037354,381.1369324,1090.81189,4456.47998,6040.509766,4266.719727,2929.942627,6629.873047,2970.963379,1109.720581,1871.182251,632.1842651,1465.28479,3219.841797,5643.731934,4767.132324,1226.966797,8753.78418,249.8376617,2853.421631,2231.112061,8953.776367,228.3638153,653.2409668,1812.94873,7524.015137,799.7640991,1669.775146,657.1445923,422.6618042,2267.845215,617.3933716,657.4355469,1564.72644,311.1625366,982.3059692,2784.614502,3690.122803,684.996521,1118.873291,1532.883057,3872.337891,2216.250244,3938.850098,549.3519287,4380.505371,1949.785522,461.7060852,1648.957397,8795.083008,618.3786011,410.0263367
Q14574,DSC3,Desmocollin-3,DSC3_HUMAN,2,4171.650391,2104.099854,8032.283691,1988.798462,1667.620117,6914.442871,5747.793457,5455.850586,1386.364746,3676.031738,2225.442139,2126.344238,2801.924072,2212.746094,1431.883301,2337.207275,1103.608398,2155.938721,3314.855957,3390.62207,2989.96582,2373.648682,2629.616211,1581.494873,6477.575684,3610.729736,4034.966309,1386.859253,2599.358154,3891.870361,350.4146423,900.0605469,1874.50415,435.3539429,4466.380859,780.0422974,1570.797729,1763.073853,1908.024292,1825.663818,2572.620605,4584.65918,1637.356812,1632.210083,1068.546753,1998.532593,2262.283203,1651.032715,1542.587769,1738.999268,2166.946289,2700.222168,704.3039551,501.7612915
Q14677,CLINT1,Clathrin interactor 1,EPN4_HUMAN,5,1354.511475,1295.823975,590.1417847,540.2417603,1673.067017,4852.236816,4308.651367,3709.608643,2266.900146,5985.56543,5207.700195,573.7664795,3192.52002,992.0087891,2152.698975,2037.520508,4616.193848,1051.053833,1445.440063,4535.436523,988.7278442,5040.571289,1443.140137,3521.33252,1088.059448,1021.201843,2886.85376,2013.994629,1041.915161,2813.218506,801.5424805,1657.871826,3650.013672,593.8360596,2944.837402,5107.77002,1125.677124,2475.882568,679.0864258,2294.282959,1164.395874,1412.811768,1094.743164,1840.367065,1818.782471,4206.503418,1566.584595,2314.97583,4953.094727,922.8744507,1816.154175,10592.67969,523.8001099,2180.342285
Q9NXB0,MKS1,Meckel syndrome type 1 protein,MKS1_HUMAN,2,1156.854614,6228.555176,597.420166,1100.57019,1815.752563,2961.188965,9700.569336,3684.42749,3851.40918,5023.591797,570.5950928,1823.851196,3192.488281,905.208374,2224.599121,1519.564941,10984.22656,8211.177734,1067.65979,4191.824219,617.9714966,691.8018188,2085.602539,3779.619873,517.236084,566.1500244,3772.232422,2712.23999,1054.02832,2120.793701,900.6132813,2693.273438,759.1344604,350.1027832,2072.116943,4209.584473,1074.128906,1847.147095,3660.173096,4315.154785,990.5584717,622.8127441,389.2557678,1707.082764,1726.666626,1749.990967,1217.343384,3399.65918,1136.542236,993.6724243,2435.160645,4914.712891,1794.684814,1120.559692
Q9BVM2,DPCD,Protein DPCD,DPCD_HUMAN,3,1686.359253,4062.593262,464.4308167,449.1977844,1949.735962,7122.70459,3333.658936,6576.998047,5489.448242,6586.900391,410.3461609,2637.533936,4989.9375,921.6516724,5096.139648,6914.779297,2760.009766,3099.544678,1592.495483,2209.599854,392.7830811,887.4664917,1785.107056,3013.981445,643.5158691,327.6173706,3531.21582,3058.594971,1450.551758,1447.444458,525.4459839,301.4069214,978.2706909,418.4668579,834.3956299,631.6484985,1105.890869,3860.804688,2283.033691,2103.800537,1650.585083,1067.061035,726.2848511,1131.916992,3746.379883,6757.038086,2230.208252,3695.491211,1171.584961,1303.506592,2733.248047,4828.352539,514.4484253,1919.642456
P16885,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2_HUMAN,6,1967.655884,2484.133789,845.2146606,1349.187744,800.9238281,4296.679688,4797.213867,6457.472656,2420.378906,2985.825439,2090.51123,1237.685303,2785.338379,2039.362671,2830.502441,1814.904419,3983.791748,2590.517578,1796.494385,2986.080811,2715.746582,3454.709717,1318.827271,4561.808105,968.4332886,997.8357544,4061.663574,4006.033203,2006.015625,5216.686523,793.883606,1497.609131,5512.924805,1163.271484,1871.759521,2011.374512,1043.981689,2298.158936,2080.665283,1899.889893,1707.25415,1956.980957,1327.902344,1584.293945,1812.004883,2337.243896,1778.351318,1526.644653,2850.675293,1832.718628,1749.110474,5612.46582,730.2784424,1517.662231
O00410,IPO5,Importin-5,IPO5_HUMAN,5,1937.507935,2606.567871,845.5073242,1126.539185,1008.443665,5506.189453,4489.162598,4797.900391,1927.133423,3523.75293,684.0837402,1221.503906,2665.550537,1224.437256,1864.626709,3342.107422,3154.871582,1159.757568,2292.704102,5681.406738,1148.206787,2431.057373,2550.513672,3863.86084,1095.412842,984.6859741,2978.140381,2911.70166,2313.659668,5491.163574,566.8582764,644.4658813,3481.173584,832.4207153,2802.708984,832.7559814,855.8602905,1740.198975,1467.058594,2227.598145,2350.973145,1948.78479,1001.285583,2396.105225,2449.27124,4400.430176,1975.173706,2885.400635,4491.213867,1652.314453,2648.36084,8698.144531,1138.462036,2328.169434
P46108,CRK,Adapter molecule crk,CRK_HUMAN,4,2228.203369,1373.224243,782.723999,669.7785034,1630.386353,6644.215332,3963.949219,4479.115234,2619.86792,5148.121582,395.3862915,2315.406982,3952.553711,832.5327148,3957.979736,2223.182617,1461.47937,4089.423584,2190.396484,4069.489014,752.9360352,1788.897705,3360.863281,4506.22168,555.7931519,960.1742554,3837.776123,2949.181885,2630.97583,4449.106445,285.9142761,454.227356,1718.22522,1776.760864,1966.487915,309.9009705,1372.936157,2954.219971,1879.528687,2563.755859,2093.15332,2214.932129,1461.635986,2731.156006,3773.244141,5115.464844,1033.051392,3611.427979,3203.146973,846.1335449,2550.250488,6404.388672,967.7122803,1839.013184
P35475,IDUA,Alpha-L-iduronidase,IDUA_HUMAN,5,2146.595703,1529.664429,1652.359131,750.2243652,1616.783936,2191.235596,2641.810791,3863.03833,2317.516357,4882.809082,855.0335083,1394.598755,2384.150635,1819.658447,2472.632324,1764.399658,2148.960693,2784.23584,6320.547363,2335.017822,1245.843262,1785.554321,6005.998535,2518.491455,1754.529541,1952.420288,2639.384521,2067.512451,928.6189575,4334.555664,1422.449829,1482.717041,1013.828064,1456.261963,1952.196411,1443.860229,2943.337646,5824.32666,1470.367798,1708.879883,2214.079346,2908.441895,1721.934082,4068.338379,1643.733521,1904.78418,1948.266479,2848.434082,2113.54541,1933.870483,4076.999756,7277.027344,627.9544678,1315.936646
P48556,PSMD8,26S proteasome non-ATPase regulatory subunit 8,PSMD8_HUMAN,3,3423.611328,3289.78125,762.7828979,1235.16272,1300.114136,7863.700195,3297.053711,3135.288574,2483.322754,5983.290039,1141.493408,2167.292969,4233.650879,778.6278687,1825.9198,2723.650146,2802.802734,1469.184448,2290.393799,3046.429932,1357.801758,4320.001465,2496.016113,2205.838135,2219.771729,2462.742676,2195.76709,2232.251953,1544.464111,2878.700195,788.4390259,823.3169556,2325.367432,695.6965332,1943.993286,1152.62146,719.3438721,1704.667114,1476.941528,3090.66333,1484.02124,4736.091797,1524.973633,1756.634521,3086.943359,2382.415527,1335.752197,2017.465942,6190.835449,1017.047424,1394.701904,5492.785156,575.6386108,2093.683594
